ShuffleSteps,0;1,1;1,1;2,1;3,1;4,1;5,2;3,2;4,2;5,3;4,3;5,4;5
5,13,13,13,13,13,13,13,13,13,13,13,13
10,40,51,56,47,47,47,48,56,53,48,58,48
15,37,37,37,37,37,37,37,37,37,37,37,37
20,46,46,46,46,46,46,46,46,46,46,46,46
25,41512,109,333,729,558,621,129,333,762,114,144,104
30,12357,379,331,276,271,243,209,331,317,227,282,239
35,10814,9173,16476,36999,36183,31369,33337,16476,22052,30074,53628,22854
40,7492,623,93,93,93,93,93,93,93,93,93,93
45,47806,46920,48813,19336,3911,2826,7242,48813,18377,2913,18107,6234
50,39712,996157,45136,1944224,248472,84985,10818,45136,436056,211165,47307,39270
