UniqueElements,Array.Sort,NoParams,InsertionSortOnly,PivotHeuristicsOnly,AllParams
400,128718,97890,97195,86127,87909
8,109905,32680,28667,32789,26285
80,117315,73593,65221,56810,59036
5,110066,28046,22025,22085,21962
20,113205,51515,50984,39634,37232
5000,142835,140348,150493,160431,161127
300,123736,99465,101568,80573,81108
800,139253,109625,118203,99912,102243
10,115852,36075,37131,31032,28994
7000,146432,153854,143483,180226,173578
6,110992,31814,24880,25000,23308
100,117390,66739,70608,61800,62398
7,110263,25560,27047,27284,25846
30,113056,46477,56613,49414,43778
1,108438,9999,9999,10011,10011
900,129197,113542,112701,103540,103746
70,121056,73675,65585,59732,56726
4000,140716,138347,141577,154305,152445
90,114672,78556,64549,63460,60458
40,118973,49996,58552,50437,48267
8000,147899,148089,155849,182924,179819
200,119214,91215,94158,74121,75312
60,120266,70294,64221,53670,55096
50,124157,59534,64470,51438,50870
1000,135205,117840,113561,106558,106471
4,108688,22414,20106,22513,20160
3000,147972,136902,127328,142969,140108
9000,141856,148954,155733,185197,185410
600,131933,105768,107288,97528,93771
10000,146064,148064,168070,190304,192188
700,132117,109536,112119,98764,98211
3,109376,20023,20066,16645,16645
2,109496,15040,15040,14980,14980
6000,144992,144956,141374,169927,167223
9,111506,33501,29852,28988,28818
2000,144033,149623,126919,127815,126223
500,130430,103857,118462,89947,91291
